chembl_id,smiles,name,molecular_weight,is_approved,targets
122,O=C(O)C=CC(=O)CC(=O)CC(=O)O,,200.032087976,False,[]
127,O=C(O)Cc1ccc(O)cc1,,152.047344116,False,[]
128,O=C(O)CCC1N=CNC1=O,,156.053492116,False,[]
130,O=C(O)CC(O)(CC(=O)C(=O)O)C(=O)O,,220.02191721600002,False,[]
131,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)O,,299.07700316599994,False,[]
132,CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NC(CS)C(=O)O,,402.08618794599994,False,[]
139,CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,420.36034539599996,False,[]
140,CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,,436.35526001599993,False,[]
141,O=C1COC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O,,534.0288058199999,False,[]
142,CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,,251.101839276,False,[]
144,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,,220.084792244,False,[]
145,O=C(O)C(=O)CC(O)C(O)C(=O)O,,192.027002596,False,[]
149,CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,,297.08956034,False,[]
150,NC1OC(COP(=O)(O)O)C(O)C1O,,229.035138354,False,[]
151,O=CNCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,,314.05151669,False,[]
152,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,,286.05660207,False,[]
153,Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O,,295.05693641799996,False,[]
154,NC(CNC=O)=NC1OC(COP(=O)(O)O)C(O)C1O,,313.067501102,False,[]
155,NC(=O)Nc1nc[nH]c1C(=O)O,,170.043990052,False,[]
157,O=C(O)C(O)C(O)C(O)C(=O)CO,,194.04265266,False,[]
158,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,,352.2249741239999,False,[]
159,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,,352.2249741239999,False,[]
160,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O,,354.2406241879999,False,[]
161,NC1=NC2NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=NC2C(=O)N1,,497.0113955259999,False,[]
162,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,,216.056863244,False,[]
164,[N-]=[N+]=CC(=O)CCC(N)C(=O)O,,171.064391148,False,[]
165,N#[N+]C=C(O)CCC(N)C(=O)O,,172.07166760009,False,[]
166,CC(=O)C(=O)C1CNC2N=C(N)NC(=O)C2N1,,239.101839276,False,[]
168,O=P(O)(O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,,422.0825420459999,False,[]
169,CCCCCC=CCC(O)C=CC=CC=CC(O)CCCC(=O)O,,336.23005950399994,False,[]
172,CC(C)CCCC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,,384.339216028,False,[]
173,CC(N)C(=O)CCCCCC(=O)O,,187.120843404,False,[]
184,CC(=O)NC1C(NC(=O)CC(N)C(=O)O)OC(CO)C(O)C1O,,335.13286463199995,False,[]
185,CC(=O)NC(CCC(=O)O)C(=O)O,,189.063722452,False,[]
188,CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,,384.1267762079999,False,[]
191,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,,267.096753896,False,[]
192,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OCC2OC(O)C(O)C2O)C(O)C1O,,559.0716736759997,False,[]
193,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,,384.1215887399999,False,[]
195,O=C(O)CC(Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O,,463.0740430259998,False,[]
